spec ID, x, y
1103,-4.407663909979255,-5.329067886720289
1137,-4.73370830389358,-5.475162238885666
208,-4.209534407813568,-5.376619219128961
1084,-6.626941698275573,5.157183018935275
1351,-4.933014517107718,-4.131676675479084
1462,-8.310343904917014,-2.3807261039053222
1444,-8.566606826106973,8.699575638807627
1299,-4.523654634471013,-5.288601890510511
210,-4.008214196828727,-5.339005179889227
281,-3.591753620398604,-5.932976875823996
1612,-7.080187822769214,5.090266401184658
603,-8.222338365813584,3.7051282002651353
1622,-6.276475197067814,-2.476701452444752
397,-3.625442332778456,-6.298358852606337
376,-3.148941613169439,-7.114907169235019
988,-8.383863897272708,2.3013952757487326
1000,-6.719285712847131,5.101642886876984
1087,-7.892762890385473,9.267237623142984
1380,-7.346090403004477,9.064859330981403
167,0.7257991214206891,-8.634428916782046
609,-9.872693679621518,-2.110087455840196
407,-3.605892381289206,-7.080326715148265
336,-3.2571560188648028,-6.7240290793596245
1399,-3.5994443943540335,-11.253649262931031
1465,-3.630891229964905,-11.255747118387681
1273,-3.5252896255994766,-11.25061009024229
1611,-3.3490625427209832,-11.233138167092076
1369,-3.7954477966416844,-11.189304578721734
1712,-3.3503926751085173,-6.554218458404962
1722,-6.525526392657672,5.3954147022571135
1753,-0.09446975289452866,-8.665427452767268
1759,0.5622993102853148,-8.627681092093146
1763,0.7566018933991376,-8.634273708379336
1773,0.6259082097693003,-8.740460783187231
377,-3.4306973099726736,-11.24731674717599
983,-3.8405072620669136,-11.170856994721099
1585,-3.8790279604894877,-11.157196763126802
1807,-3.720677148630627,-11.255896750516692
1806,-3.762096031940533,-11.238394098511579
1802,-3.787658125090481,-11.201229704883547
1810,-3.880258861120152,-11.14238988733116
1817,-3.8595698730533496,-11.15474686199601
1818,-3.8750386928343277,-11.147553446688573
1821,-3.893043515457594,-11.148755581290626
1837,-3.8227028845205098,-11.202346638127128
1874,-3.835552835330456,-11.172297306325941
1903,-3.829211589647009,-11.183972495530647
1838,-3.872834120500529,-11.141718267590216
1863,-3.8288529331747787,-11.189033728956009
1896,-3.8601126877760343,-11.133430360643985
1913,-3.8384882279057018,-11.173538943960203
1939,-3.855957810207035,-11.155300721617968
1826,-3.910487807337253,-11.136004870652634
1953,-3.8674105421610054,-11.183219200600798
1848,-4.151569142253221,-10.92489026238135
1985,-7.346478938463455,-6.544189467594254
1530,-4.931914882405087,-6.7287424353772405
1786,-4.860361894014121,-7.30058307953298
1783,-4.911438178062835,-7.045372692693242
1664,-4.672619272004657,-6.824419030050433
1715,-4.667932926073954,-6.846088521101731
1264,-7.789097714862816,-2.779307363477684
1736,-7.501440068828571,-3.35932891701416
2029,-4.9211664865058475,-7.294976287141424
